[2017-05-09T13:54:19.822737] id=1605, name=Kepler-712 c, per=226.89047, mass=0.0779976, sep=0.686927, dist=944.0, mstar=0.84, rstar=0.78, teff=5148.0, fe=-0.03
[2017-05-09T13:54:19.824532] id=1683, name=HD 63765 b, per=358.0, mass=0.643827, sep=0.94038, dist=33.2557, mstar=0.865, rstar=0.975102, teff=5432.0, fe=-0.16
[2017-05-09T13:54:19.826338] id=1773, name=Kepler-1593 b, per=174.509835, mass=0.0300338, sep=0.569703, dist=755.0, mstar=0.81, rstar=0.77, teff=4995.0, fe=0.02
[2017-05-09T13:54:19.828126] id=1797, name=HD 20868 b, per=380.85, mass=2.00901, sep=0.947319, dist=46.2107, mstar=0.78, rstar=1.15581, teff=4795.0, fe=0.04
[2017-05-09T13:54:19.829937] id=1844, name=Kepler-1143 c, per=210.630591, mass=0.0397462, sep=0.645826, dist=632.0, mstar=0.81, rstar=0.77, teff=5053.0, fe=-0.06
[2017-05-09T13:54:19.832020] id=1848, name=55 Cnc f, per=261.2, mass=0.172877, sep=0.773567, dist=12.3411, mstar=0.905, rstar=0.943, teff=5196.0, fe=0.314513
[2017-05-09T13:54:19.833815] id=1926, name=HD 108874 b, per=394.48124, mass=1.2902, sep=1.03527, dist=62.6174, mstar=0.95, rstar=1.12115, teff=5550.95, fe=0.181867
[2017-05-09T13:54:19.835602] id=1936, name=HD 23596 b, per=1561.0, mass=7.74272, sep=2.77219, dist=50.4286, mstar=1.159, rstar=1.96615, teff=5903.55, fe=0.217926
[2017-05-09T13:54:19.837393] id=1999, name=Kepler-442 b, per=112.3053, mass=0.00809285, sep=0.386141, dist=342.0, mstar=0.609, rstar=0.598, teff=4402.0, fe=-0.37
[2017-05-09T13:54:19.839158] id=2053, name=HD 210277 b, per=442.19, mass=1.27275, sep=1.13105, dist=21.561, mstar=0.986, rstar=0.939154, teff=5555.23, fe=0.214293
[2017-05-09T13:54:19.840981] id=2110, name=GJ 3293 b, per=30.6, mass=0.081, sep=0.143394, dist=None, mstar=0.42, rstar=0.404, teff=3466.0, fe=0.02
[2017-05-09T13:54:19.842809] id=2129, name=Kepler-967 c, per=198.7112502, mass=0.0412428, sep=0.628803, dist=499.0, mstar=0.84, rstar=0.8, teff=5178.0, fe=-0.03
[2017-05-09T13:54:19.844609] id=2228, name=Kepler-68 d, per=580.0, mass=0.80971, sep=1.39638, dist=135.0, mstar=1.079, rstar=1.243, teff=5793.0, fe=0.12
[2017-05-09T13:54:19.846407] id=2312, name=Kepler-1634 b, per=374.876239, mass=0.0304768, sep=0.989603, dist=654.0, mstar=0.92, rstar=0.89, teff=5474.0, fe=0.02
